Nombre,Posicion,Puntos_Totales,Media,Subida_Bajada,Precio,puntos_ultima_jornada,puntos_penultima_jornada,puntos_antepenultima_jornada
H. Mendes,Defensa,9,1.3,↑,204000.0,0.0,2.0,0.0
J. Herrando,Defensa,8,2.7,↑,174000.0,0.0,0.0,0.0
J. Jordan,Mediocentro,8,2.7,-,160000.0,0.0,0.0,0.0
J. Zaldua,Defensa,8,2.0,↑,183000.0,0.0,0.0,0.0
J. Cruz,Mediocentro,8,2.0,↓,175000.0,0.0,0.0,0.0
M. Rodríguez,Delantero,8,1.1,↑,173000.0,0.0,1.0,0.0
M. Adu Ares,Delantero,7,2.3,↑,194000.0,0.0,0.0,2.0
J. Ander Olasagasti,Mediocentro,7,1.8,↑,196000.0,1.0,0.0,0.0
O. Mfulu,Mediocentro,7,1.4,↓,160000.0,0.0,1.0,0.0
Á. Odriozola,Defensa,6,3.0,↑,261000.0,0.0,3.0,0.0
J. Martín,Mediocentro,6,3.0,↓,160000.0,0.0,3.0,0.0
J. Vallejo,Defensa,6,2.0,↑,283000.0,0.0,0.0,3.0
F. San Emeterio,Mediocentro,6,2.0,↓,160000.0,0.0,0.0,0.0
V. Díaz,Defensa,6,1.5,-,160000.0,0.0,0.0,0.0
V. Chust,Defensa,6,1.2,↓,352000.0,1.0,6.0,0.0
M. Sanca,Delantero,6,1.2,↓,160000.0,0.0,0.0,0.0
É. Militão,Defensa,5,5.0,↑,2784000.0,0.0,0.0,0.0
B. Méndez,Defensa,5,5.0,↑,1243000.0,0.0,0.0,5.0
M. Bartra,Defensa,5,1.7,↓,160000.0,0.0,0.0,0.0
F. Angileri,Defensa,5,1.3,↓,160000.0,0.0,0.0,0.0
J. Solís,Mediocentro,5,0.8,↑,202000.0,2.0,1.0,2.0
A. Batalla,Portero,4,4.0,↑,1564000.0,0.0,0.0,4.0
U. García,Defensa,4,4.0,↑,190000.0,0.0,0.0,0.0
S. Papastathopoulos,Defensa,4,2.0,↑,669000.0,0.0,0.0,3.0
F. Coquelin,Mediocentro,4,2.0,↑,191000.0,0.0,0.0,2.0
M. Dominguez,Mediocentro,4,1.3,↑,170000.0,0.0,0.0,0.0
M. Díaz,Delantero,4,1.0,↓,164000.0,0.0,0.0,0.0
M. Arezo,Delantero,3,3.0,↑,272000.0,0.0,0.0,3.0
D. Mariño,Portero,3,3.0,↑,208000.0,0.0,0.0,0.0
N. Fekir,Mediocentro,3,1.5,↑,5381000.0,0.0,0.0,0.0
F. Martínez,Portero,3,1.5,↑,206000.0,0.0,0.0,0.0
A. Marí,Delantero,3,1.5,↓,163000.0,2.0,0.0,1.0
J. Mari,Mediocentro,3,1.5,-,160000.0,0.0,0.0,0.0
U. González,Mediocentro,3,1.5,↓,160000.0,0.0,0.0,0.0
M. Milovanovic,Delantero,3,1.0,-,160000.0,0.0,0.0,0.0
E. Ünal,Delantero,2,2.0,↑,2140000.0,0.0,0.0,2.0
E. Bailly,Defensa,2,2.0,↑,1382000.0,0.0,0.0,2.0
C. Vicente,Delantero,2,2.0,↑,1085000.0,0.0,0.0,2.0
G. Simeone,Delantero,2,2.0,↑,665000.0,0.0,0.0,2.0
U. Marrero,Portero,2,2.0,↑,605000.0,0.0,0.0,2.0
R. Mandava,Defensa,2,2.0,↓,309000.0,0.0,0.0,0.0
R. Visus,Defensa,2,2.0,↑,209000.0,0.0,0.0,0.0
J. Magunazelaia,Delantero,2,2.0,↓,196000.0,2.0,0.0,0.0
D. Mendez,Mediocentro,2,2.0,↓,160000.0,0.0,0.0,0.0
E. Curbelo,Defensa,2,2.0,-,160000.0,0.0,0.0,0.0
I. Kébé,Mediocentro,2,1.0,↓,163000.0,0.0,0.0,0.0
G. García,Delantero,2,1.0,↓,160000.0,0.0,0.0,0.0
N. Paz,Mediocentro,2,1.0,↓,160000.0,0.0,0.0,0.0
A. Centelles,Defensa,2,0.7,↑,196000.0,0.0,0.0,0.0
T. Lemar,Mediocentro,2,0.7,↑,169000.0,0.0,0.0,0.0
W. Manafá,Defensa,2,0.5,↓,181000.0,0.0,0.0,0.0
Ç. Söyüncü,Defensa,2,0.3,↓,169000.0,-1.0,0.0,0.0
V. Roque,Delantero,1,1.0,↑,10319000.0,0.0,0.0,1.0
J. Ángel Pozo,Mediocentro,1,1.0,↑,186000.0,0.0,0.0,0.0
S. Clúa,Mediocentro,1,1.0,↑,163000.0,0.0,0.0,0.0
C. Tárrega,Defensa,1,1.0,-,160000.0,0.0,0.0,0.0
H. Álvarez,Mediocentro,1,1.0,-,160000.0,0.0,0.0,1.0
M. Jauregizar,Mediocentro,1,1.0,↓,160000.0,0.0,1.0,0.0
P. Nolaskoain,Defensa,1,1.0,-,160000.0,0.0,0.0,0.0
Marcão,Defensa,1,0.5,↑,316000.0,0.0,0.0,1.0
A. Güler,Mediocentro,0,0.0,↑,3227000.0,0.0,0.0,0.0
L. Agoumé,Mediocentro,0,0.0,↑,1240000.0,0.0,0.0,0.0
J. Cardoso,Mediocentro,0,0.0,↓,1041000.0,0.0,0.0,0.0
I. Moriba,Mediocentro,0,0.0,↑,968000.0,0.0,0.0,0.0
Jailson,Mediocentro,0,0.0,↑,904000.0,0.0,0.0,0.0
M. Hongla,Mediocentro,0,0.0,↑,839000.0,0.0,4.0,0.0
K. Piatkowski,Defensa,0,0.0,↓,536000.0,0.0,0.0,0.0
T. Courtois,Portero,0,0.0,↑,420000.0,0.0,0.0,0.0
J. Jon Guerrero,Mediocentro,0,0.0,↑,202000.0,0.0,0.0,0.0
Vitolo,Mediocentro,0,0.0,↑,201000.0,0.0,0.0,0.0
M. Merquelanz,Mediocentro,0,0.0,↑,198000.0,0.0,0.0,0.0
U. Ropero,Mediocentro,0,0.0,↑,195000.0,0.0,0.0,0.0
F. González,Mediocentro,0,0.0,↑,193000.0,0.0,0.0,0.0
J. García,Delantero,0,0.0,↑,184000.0,0.0,0.0,0.0
N. Maraš,Defensa,0,0.0,↑,180000.0,0.0,0.0,0.0
T. Fuidias,Portero,0,0.0,↑,180000.0,0.0,0.0,0.0
M. Calderón,Mediocentro,0,0.0,↑,179000.0,0.0,0.0,0.0
J. Doménech,Portero,0,0.0,↑,176000.0,0.0,0.0,0.0
P. Reina,Portero,0,0.0,↓,168000.0,0.0,0.0,0.0
M. Pascual,Defensa,0,0.0,↑,164000.0,0.0,0.0,0.0
C. Rivero,Portero,0,0.0,↓,163000.0,0.0,0.0,0.0
I. Romero,Delantero,0,0.0,↑,163000.0,0.0,0.0,0.0
D. Greif,Portero,0,0.0,↑,162000.0,0.0,0.0,0.0
A. Escandell,Portero,0,0.0,-,160000.0,0.0,0.0,0.0
A. López,Portero,0,0.0,-,160000.0,0.0,0.0,0.0
B. García,Mediocentro,0,0.0,-,160000.0,0.0,0.0,0.0
D. Cárdenas,Portero,0,0.0,-,160000.0,0.0,0.0,0.0
D. Fuzato,Portero,0,0.0,-,160000.0,0.0,0.0,0.0
D. Brašanac,Mediocentro,0,0.0,-,160000.0,0.0,0.0,0.0
F. Gattoni,Defensa,0,0.0,-,160000.0,0.0,0.0,0.0
I. Grbić,Portero,0,0.0,↓,160000.0,0.0,0.0,0.0
J. Owono,Portero,0,0.0,-,160000.0,0.0,0.0,0.0
J. Carlos Martín,Portero,0,0.0,-,160000.0,0.0,0.0,0.0
J. Herzog,Defensa,0,0.0,-,160000.0,0.0,0.0,0.0
J. Agirrezabala,Portero,0,0.0,↓,160000.0,0.0,0.0,0.0
M. Svidersky,Mediocentro,0,0.0,↓,160000.0,0.0,0.0,0.0
M. Tejón,Mediocentro,0,0.0,-,160000.0,0.0,0.0,0.0
P. Marín,Mediocentro,0,0.0,-,160000.0,0.0,0.0,0.0
P. Cuéllar,Portero,0,0.0,-,160000.0,0.0,0.0,0.0
T. Villa,Mediocentro,0,0.0,-,160000.0,0.0,0.0,0.0
Y. Santiago,Mediocentro,0,0.0,-,160000.0,0.0,0.0,0.0
D. Sinkgraven,Defensa,-3,-0.6,↑,199000.0,3.0,0.0,-9.0
