Nombre,Posicion,Puntos_Totales,Media,Subida_Bajada,Precio,puntos_ultima_jornada,puntos_penultima_jornada,puntos_antepenultima_jornada
M. Vesga,Mediocentro,61,4.4,↑,2400000.0,2.0,2.0,11.0
P. Espino,Defensa,61,3.6,↓,2085000.0,3.0,0.0,3.0
J. López,Defensa,60,4.0,↑,2926000.0,2.0,3.0,3.0
Á. Berenguer,Mediocentro,60,3.3,↑,5407000.0,0.0,3.0,4.0
C. Larin,Delantero,60,3.3,↑,4296000.0,3.0,2.0,2.0
C. Portu,Mediocentro,60,3.3,↑,1549000.0,10.0,2.0,2.0
Y. Berchiche,Defensa,59,4.5,↑,8250000.0,7.0,3.0,6.0
I. Carcelén,Defensa,59,3.3,↑,2559000.0,3.0,6.0,3.0
A. Muñoz,Defensa,59,3.1,↓,1981000.0,1.0,3.0,1.0
A. Raíllo,Defensa,58,6.4,↑,7459000.0,6.0,12.0,5.0
V. Júnior,Delantero,58,5.3,↑,18178000.0,0.0,0.0,4.0
Suso,Mediocentro,58,3.9,↑,7534000.0,3.0,8.0,5.0
M. Sánchez,Defensa,58,3.9,↑,3808000.0,0.0,6.0,3.0
J. Hernández,Defensa,58,3.4,↓,202000.0,0.0,0.0,0.0
R. Sánchez,Defensa,58,3.2,↓,1145000.0,2.0,3.0,3.0
J. Foyth,Defensa,57,4.8,↓,5074000.0,0.0,0.0,0.0
A. Tchouaméni,Mediocentro,57,4.1,↑,10944000.0,1.0,3.0,5.0
A. Suárez,Defensa,57,3.8,↑,2647000.0,0.0,1.0,5.0
R. Duarte,Defensa,57,3.8,↑,612000.0,3.0,3.0,0.0
I. Balliu,Defensa,57,3.6,↓,2951000.0,4.0,0.0,2.0
A. Embarba,Mediocentro,57,3.2,↓,1382000.0,3.0,2.0,2.0
I. Miquel,Defensa,57,3.0,↑,1240000.0,4.0,1.0,4.0
C. Neva,Defensa,57,3.0,↑,1118000.0,3.0,2.0,6.0
M. Gómez,Mediocentro,56,4.0,↓,5774000.0,3.0,0.0,3.0
J. Luis Morales,Delantero,56,4.0,↑,4686000.0,7.0,2.0,1.0
M. Valjent,Defensa,56,3.5,↓,1258000.0,0.0,0.0,0.0
A. Balde,Defensa,56,3.3,↑,6368000.0,3.0,3.0,4.0
G. González,Defensa,56,3.3,↑,1080000.0,4.0,2.0,4.0
J. Areso,Defensa,56,3.1,↑,2018000.0,5.0,1.0,5.0
C. Riad,Defensa,55,4.2,↓,6693000.0,5.0,5.0,0.0
N. Molina,Defensa,55,3.4,↓,3834000.0,-1.0,1.0,2.0
Y. En Nesyri,Delantero,55,3.2,↓,6403000.0,-1.0,3.0,0.0
U. Sadiq,Delantero,55,3.2,↓,6082000.0,3.0,2.0,4.0
A. Ruibal,Defensa,54,4.9,↑,2448000.0,7.0,5.0,11.0
R. García,Mediocentro,54,3.9,↓,574000.0,3.0,0.0,0.0
N. Gudelj,Defensa,54,3.4,↓,3969000.0,-1.0,4.0,1.0
A. Ezzalzouli,Delantero,54,3.4,↓,1331000.0,2.0,5.0,0.0
É. Capoue,Mediocentro,54,3.0,↓,1994000.0,3.0,0.0,0.0
F. López,Mediocentro,53,4.4,↓,4120000.0,0.0,2.0,5.0
D. Lukébakio,Delantero,53,4.4,↓,1599000.0,0.0,0.0,0.0
R. Peña,Defensa,53,3.5,↑,1485000.0,6.0,2.0,5.0
D. Lopy,Mediocentro,53,3.1,↑,1062000.0,3.0,4.0,6.0
S. Ruiz,Mediocentro,53,3.1,↑,858000.0,3.0,2.0,6.0
A. Diao,Mediocentro,52,4.3,↓,5042000.0,5.0,4.0,0.0
A. Catena,Defensa,52,3.5,↓,2387000.0,0.0,0.0,3.0
A. Ferreira,Portero,52,3.5,↓,1805000.0,1.0,2.0,0.0
S. Camello,Delantero,52,3.5,↑,830000.0,1.0,2.0,16.0
A. Rebbach,Mediocentro,52,3.5,↑,756000.0,4.0,3.0,2.0
M. Perrone,Mediocentro,52,3.3,↑,1428000.0,3.0,4.0,4.0
Á. Sola,Mediocentro,52,3.3,↓,285000.0,3.0,0.0,0.0
A. Blanco,Mediocentro,52,3.1,↓,2803000.0,4.0,4.0,2.0
F. Beltrán,Mediocentro,52,3.1,↑,515000.0,0.0,0.0,4.0
J. de Frutos,Mediocentro,52,2.9,↑,548000.0,1.0,2.0,3.0
M. Nastasić,Defensa,51,3.6,↓,2229000.0,4.0,11.0,3.0
L. Torró,Mediocentro,51,3.6,↓,1804000.0,0.0,0.0,0.0
C. Azpilicueta,Defensa,51,3.2,↓,1537000.0,2.0,3.0,0.0
D. Djené,Defensa,51,3.2,↑,1530000.0,5.0,0.0,2.0
I. Alejo,Mediocentro,51,3.0,↑,529000.0,5.0,0.0,0.0
P. Barrios,Mediocentro,50,5.6,↑,4020000.0,0.0,0.0,0.0
M. Diakhaby,Defensa,50,4.2,↓,1354000.0,7.0,6.0,0.0
M. Park,Delantero,50,3.6,↓,1050000.0,2.0,3.0,0.0
A. Sánchez,Mediocentro,50,3.6,↑,838000.0,4.0,4.0,5.0
L. Boyé,Delantero,50,3.3,↑,4425000.0,2.0,0.0,6.0
R. García de Haro,Delantero,50,2.9,↑,1378000.0,13.0,7.0,2.0
J. Moncayola,Mediocentro,50,2.9,↑,1008000.0,3.0,2.0,3.0
L. de la Torre,Mediocentro,50,2.9,↓,766000.0,2.0,2.0,3.0
A. Herrera,Mediocentro,49,4.1,↑,2275000.0,8.0,3.0,5.0
Í. Lekue,Defensa,49,3.5,↑,4547000.0,6.0,4.0,5.0
J. Iglesias,Defensa,49,3.5,↓,1401000.0,7.0,3.0,0.0
R. Marín,Defensa,49,3.3,↑,2638000.0,2.0,6.0,6.0
R. Albiol,Defensa,49,2.9,↓,2012000.0,1.0,2.0,1.0
A. Moleiro,Mediocentro,48,5.3,↑,6440000.0,4.0,0.0,5.0
K. Arrizabalaga,Portero,48,4.4,↓,6984000.0,0.0,3.0,0.0
L. Pires,Defensa,48,3.7,↑,1565000.0,4.0,5.0,4.0
D. Sow,Mediocentro,48,3.2,↓,1650000.0,2.0,0.0,0.0
V. Fernández,Mediocentro,48,3.2,↑,1058000.0,2.0,1.0,10.0
V. Guaita,Portero,47,4.7,↑,6900000.0,6.0,7.0,3.0
R. Silva,Portero,47,4.7,↑,5348000.0,8.0,3.0,3.0
J. Sánchez,Defensa,47,3.6,↑,4098000.0,-2.0,5.0,2.0
A. Douvikas,Delantero,47,3.4,↑,1045000.0,2.0,10.0,1.0
Pedri,Mediocentro,46,5.8,↓,16111000.0,7.0,0.0,0.0
L. Suárez,Delantero,46,5.8,↑,1042000.0,0.0,0.0,0.0
D. Alaba,Defensa,46,3.3,↓,6383000.0,4.0,0.0,0.0
R. Sanchez,Mediocentro,46,3.3,↑,589000.0,2.0,4.0,2.0
A. Abqar,Defensa,46,3.3,↓,160000.0,0.0,3.0,0.0
Ó. Trejo,Mediocentro,46,3.1,↓,321000.0,0.0,0.0,0.0
C. Aleñá,Mediocentro,46,3.1,↑,209000.0,0.0,0.0,2.0
A. Lunin,Portero,45,5.6,↑,3203000.0,2.0,0.0,4.0
G. Paulista,Defensa,45,3.0,↑,3783000.0,0.0,0.0,6.0
I. Akhomach,Delantero,45,3.0,↑,1158000.0,4.0,3.0,6.0
D. Machís,Delantero,45,3.0,↓,1110000.0,1.0,0.0,2.0
A. Sedlar,Defensa,44,4.0,↓,160000.0,0.0,0.0,0.0
A. Pedraza,Defensa,44,3.4,↓,2835000.0,2.0,12.0,0.0
I. Hagi,Mediocentro,44,3.1,↓,994000.0,2.0,0.0,0.0
A. Christensen,Defensa,44,2.9,↓,5144000.0,0.0,0.0,1.0
D. Suárez,Defensa,44,2.9,↓,1087000.0,0.0,3.0,-6.0
J. Mata,Delantero,44,2.8,↑,1338000.0,9.0,5.0,2.0
J. Costa,Defensa,44,2.6,↑,742000.0,5.0,4.0,0.0
S. Canós,Mediocentro,43,3.9,↑,1722000.0,3.0,12.0,7.0
J. Cuenca,Defensa,43,3.3,↑,1081000.0,1.0,3.0,1.0
L. Vázquez,Defensa,43,3.1,↓,2848000.0,7.0,13.0,1.0
K. Pérez,Mediocentro,43,2.9,↑,224000.0,3.0,2.0,2.0
J. Cruz,Defensa,42,3.2,↑,688000.0,4.0,1.0,2.0
I. Baba,Mediocentro,42,2.5,-,160000.0,3.0,4.0,0.0
K. Salas,Defensa,41,4.6,↑,1447000.0,2.0,5.0,5.0
M. Dmitrović,Portero,41,3.7,↑,5294000.0,1.0,7.0,2.0
I. Muñoz,Mediocentro,41,3.7,↑,805000.0,4.0,3.0,3.0
F. García,Defensa,41,3.2,↑,3869000.0,6.0,3.0,3.0
Bebé,Delantero,41,2.9,↓,172000.0,2.0,2.0,1.0
P. Maffeo,Defensa,41,2.7,↑,5366000.0,4.0,5.0,3.0
M. Gómez,Delantero,41,2.6,↑,1162000.0,4.0,3.0,2.0
E. Ávila,Delantero,41,2.4,↓,4512000.0,4.0,3.0,2.0
S. Roberto,Defensa,40,6.7,↑,1502000.0,0.0,20.0,5.0
S. Ramos,Defensa,40,4.0,↑,11435000.0,0.0,13.0,4.0
M. Cardona,Delantero,40,3.6,↑,170000.0,0.0,0.0,3.0
É. González,Defensa,40,2.7,↑,2191000.0,5.0,7.0,2.0
P. Ibáñez,Mediocentro,40,2.7,↑,413000.0,3.0,9.0,2.0
L. Milla,Mediocentro,39,4.9,↑,6724000.0,6.0,8.0,3.0
M. Depay,Delantero,39,3.9,↓,4862000.0,2.0,3.0,1.0
A. Mumin,Defensa,39,3.9,↓,4624000.0,5.0,5.0,0.0
J. Mojica,Defensa,39,3.5,↓,524000.0,0.0,0.0,0.0
J. Giménez,Defensa,39,3.0,↓,2452000.0,1.0,0.0,2.0
G. Melero,Mediocentro,39,2.6,↓,160000.0,2.0,0.0,0.0
P. Torre,Mediocentro,38,3.2,↑,1530000.0,2.0,6.0,6.0
O. Romeu,Mediocentro,38,2.7,↓,779000.0,0.0,4.0,0.0
L. Hernández,Defensa,37,4.6,↑,567000.0,0.0,0.0,2.0
C. Fernández,Delantero,37,3.7,↑,326000.0,0.0,2.0,0.0
J. Miranda,Defensa,37,3.4,↓,2268000.0,0.0,4.0,0.0
U. Gómez,Mediocentro,37,3.4,↑,812000.0,1.0,13.0,3.0
Ó. Rodríguez,Mediocentro,37,3.4,↓,242000.0,0.0,12.0,0.0
B. Prados,Mediocentro,37,3.1,↑,1651000.0,8.0,6.0,3.0
H. Guillamón,Mediocentro,37,3.1,↑,1342000.0,11.0,2.0,6.0
A. Vinícius,Defensa,37,2.8,↑,1042000.0,5.0,0.0,2.0
O. Alderete,Defensa,37,2.8,↓,559000.0,0.0,2.0,2.0
Ó. Torres,Mediocentro,37,2.6,↑,844000.0,0.0,5.0,2.0
Á. Fernández,Mediocentro,37,2.5,↓,558000.0,2.0,3.0,0.0
J. Callejón,Mediocentro,37,2.3,↑,171000.0,2.0,2.0,2.0
Chumi,Defensa,37,2.2,↑,898000.0,3.0,2.0,2.0
Í. Martínez,Defensa,36,4.5,↓,4737000.0,0.0,0.0,0.0
J. Arnaiz,Delantero,36,3.3,↑,610000.0,4.0,2.0,5.0
A. Martínez,Defensa,36,3.0,↓,1034000.0,2.0,0.0,2.0
T. Lato,Defensa,36,3.0,↑,312000.0,0.0,0.0,2.0
Á. Fernández,Mediocentro,36,2.8,↑,530000.0,2.0,2.0,5.0
J. Ángel Carmona,Defensa,36,2.8,↑,249000.0,0.0,1.0,2.0
R. de Tomás,Delantero,36,2.6,↓,1467000.0,4.0,3.0,0.0
Sandro,Delantero,35,4.4,↑,1305000.0,0.0,2.0,5.0
K. Tierney,Defensa,35,3.9,↑,3486000.0,4.0,5.0,3.0
A. Hernández,Defensa,35,3.5,↑,661000.0,0.0,0.0,5.0
A. Zakharyan,Mediocentro,35,2.9,↑,783000.0,3.0,0.0,2.0
R. Terrats,Mediocentro,35,2.7,↑,216000.0,5.0,1.0,1.0
D. Foulquier,Defensa,35,2.5,↑,605000.0,2.0,2.0,5.0
Pejiño,Mediocentro,34,3.4,↑,325000.0,11.0,0.0,3.0
S. Mitrović,Defensa,34,3.1,↓,160000.0,0.0,0.0,2.0
L. Badé,Defensa,34,2.8,↑,4485000.0,0.0,0.0,3.0
M. Morlanes,Mediocentro,34,2.3,↑,375000.0,2.0,3.0,3.0
A. Ndiaye,Mediocentro,34,2.3,↑,192000.0,3.0,0.0,1.0
R. Tapia,Mediocentro,33,3.3,↑,2528000.0,7.0,3.0,7.0
S. Comesaña,Mediocentro,33,3.0,↑,215000.0,0.0,4.0,0.0
R. Sobrino,Mediocentro,33,1.9,↑,210000.0,3.0,3.0,-8.0
A. Puertas,Mediocentro,33,1.9,↓,172000.0,0.0,3.0,1.0
B. Soumaré,Mediocentro,32,2.9,↓,2288000.0,1.0,6.0,0.0
O. Mascarell,Mediocentro,32,2.7,↑,194000.0,3.0,0.0,2.0
Ó. Melendo,Mediocentro,32,2.5,↑,204000.0,2.0,0.0,0.0
E. Lamela,Mediocentro,31,4.4,↓,205000.0,0.0,0.0,0.0
M. Rubio,Defensa,31,3.9,↓,164000.0,0.0,0.0,3.0
S. Savić,Defensa,31,3.1,↓,709000.0,0.0,-4.0,0.0
I. Villar,Portero,31,3.1,↑,172000.0,0.0,0.0,0.0
L. Henrique,Delantero,31,2.8,↓,310000.0,0.0,0.0,1.0
R. Falcao,Delantero,31,2.8,↑,278000.0,0.0,2.0,4.0
B. Turrientes,Mediocentro,31,2.6,-,160000.0,2.0,2.0,0.0
S. Kaba,Delantero,31,2.6,-,160000.0,0.0,1.0,0.0
A. Moreno,Defensa,31,2.4,↑,969000.0,0.0,4.0,1.0
Ø. Nyland,Portero,30,4.3,↓,178000.0,0.0,0.0,0.0
J. Navas,Defensa,30,2.5,↓,953000.0,0.0,0.0,0.0
I. Peña,Portero,29,4.8,↑,3783000.0,6.0,3.0,3.0
A. Mandi,Defensa,29,3.2,-,160000.0,0.0,12.0,0.0
A. Guardado,Mediocentro,29,2.6,↑,172000.0,0.0,1.0,0.0
S. Amallah,Mediocentro,29,2.4,↓,160000.0,2.0,2.0,0.0
R. Torrente,Defensa,29,2.2,↑,210000.0,3.0,-1.0,0.0
C. Benavídez,Mediocentro,29,2.2,-,160000.0,2.0,0.0,2.0
C. Bravo,Portero,28,4.0,↑,205000.0,0.0,0.0,0.0
R. Nteka,Delantero,28,3.5,↑,235000.0,3.0,2.0,3.0
H. Sotelo,Mediocentro,28,3.5,↓,164000.0,0.0,0.0,0.0
C. Dotor,Mediocentro,28,2.8,↓,170000.0,4.0,4.0,0.0
D. García,Mediocentro,28,2.8,↑,165000.0,0.0,0.0,0.0
K. Barja,Mediocentro,28,2.5,-,160000.0,0.0,1.0,0.0
