Posicion,Nombre,Puntos Totales,Media,PJ,Ultimos puntos
DF,Gayà,55,4.2,13,6----
MC,Álex Baena,54,3.4,16,-6-226
PT,Sivera,54,2.8,19,62226
DF,Javi López,54,3.6,15,26222
DL,Juanmi Latasa,53,2.8,19,-56622
DF,Axel Witsel,52,2.9,18,22-222
PT,Kepa,52,4.7,11,-2---
MC,Javi Muñoz,52,2.7,19,62622
MC,Torró,52,3.7,14,--2-26
PT,Maximiano,52,3.3,16,26622
DF,Rubén Duarte,51,3.4,15,-62-2
MC,Rodrigo Riquelme,50,3.3,15,66-22
DF,Chadi Riad,50,3.8,13,-62102
MC,Vesga,50,3.6,14,1422--
MC,Djibril Sow,50,3.3,15,-2-226
DF,Pacha Espino,50,2.9,17,2-2--2
DF,Rubén Peña,50,3.3,15,226--
MC,Rubén García,50,3.6,14,--662
MC,Unai López,50,2.9,17,22262
DF,Carlos Neva,50,2.6,19,66262
PT,André Ferreira,50,3.3,15,-2-226
MC,Iván Alejo,50,2.9,17,-2266
DF,Ricard Sánchez,50,2.8,18,22262
DF,Julián Araujo,49,3.1,16,-66211
DL,Suso,49,3.3,15,662--
DF,Carl Starfelt,49,3.1,16,-2-6-2
MC,Moi Gómez,48,3.4,14,2-22210
DL,Ángel Correa,48,3.2,15,2-256
DF,Iza,48,2.7,18,26262
DL,Munir,48,2.5,19,92222
DL,Leo Baptistão,48,3,16,29292
MC,de Frutos,48,2.7,18,62-62
DF,Lucas Pires,47,3.6,13,26622
MC,Étienne Capoue,46,2.6,18,-2-222
PT,Lunin,46,5.8,8,2-210-
MC,Antonio Blanco,46,2.7,17,26222
MC,Valery,46,3.1,15,10-214-
DF,Gorosabel,46,2.4,19,26262
DL,Dodi Lukébakio,46,3.8,12,---22
DF,Jesús Areso,46,2.6,18,62626
DF,Ignasi Miquel,46,2.4,19,6-2222
MC,Kike Perez,46,3.1,15,226-2
DL,Morales,45,3.2,14,22529
DL,En-Nesyri,45,2.6,17,-2-2-22
DF,Foyth,45,3.8,12,---22
DL,Abde Rebbach,45,2.8,16,26222
DF,Maffeo,44,2.8,16,66622
DF,Fran García,44,3.1,14,226--
MC,Ander Herrera,44,3.7,12,22626
DF,Iván Balliu,44,2.8,16,2-26-2
