,NOMBRE,EQUIPO,MJ,PJ,PPJ,PC,PPC,PT,PPT,PS,PPS,TA,TR,SA,G,PR,GPP,GE
,JESUS VAZQUEZ,VALENCIA CF,184,6,11.11,0,11.11,2,11.11,2,11.11,1,0,0,0,0,0,2
,JHON SOLIS,GIRONA FC,36,5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,2
,JOAN JORDAN,SEVILLA FC,255,3,5.56,2,5.56,3,5.56,1,5.56,1,0,0,0,0,0,5
,JOHAN MOJICA,CA OSASUNA,724,11,22.22,4,22.22,8,22.22,4,22.22,0,0,0,0,0,0,14
,JON GURIDI,DEPORTIVO ALAVES,1295,17,50.00,7,50.00,16,50.00,9,50.00,1,0,0,0,0,0,18
,JON KARRIKABURU,DEPORTIVO ALAVES,14,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,JON MAGUNAZELAIA,REAL SOCIEDAD,15,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JON MONCAYOLA,CA OSASUNA,746,16,33.33,2,33.33,8,33.33,6,33.33,1,0,0,0,0,0,16
,JON OLASAGASTI,REAL SOCIEDAD,35,4,0.00,0,0.00,0,0.00,0,0.00,2,0,0,0,0,0,1
,JON PACHECO,REAL SOCIEDAD,344,8,5.56,2,5.56,3,5.56,1,5.56,2,0,0,0,0,0,5
,JONATHAN BAMBA,RC CELTA,1415,18,55.56,7,55.56,17,55.56,10,55.56,0,0,0,2,0,0,22
,JONATHAN VIERA,UD LAS PALMAS,620,9,22.22,3,22.22,7,22.22,4,22.22,1,0,0,2,0,0,7
,JORGE CUENCA,VILLARREAL CF,891,12,0.00,9,0.00,9,0.00,0,0.00,1,0,0,1,0,0,20
,JORGE HERRANDO,CA OSASUNA,215,3,0.00,2,0.00,2,0.00,0,0.00,0,0,0,0,0,0,5
,JORGE MARTIN,GETAFE CF,92,2,5.56,0,5.56,1,5.56,1,5.56,0,0,0,0,0,0,0
,JORGE MERE,CADIZ CF,330,6,22.22,0,22.22,4,22.22,4,22.22,0,0,0,0,0,0,8
,JORGE PASCUAL,VILLARREAL B,13,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JORGE DE FRUTOS,RAYO VALLECANO,499,17,16.67,0,16.67,3,16.67,3,16.67,0,0,0,1,0,0,9
,JOSEBA ZALDUA,CADIZ CF,190,4,11.11,0,11.11,2,11.11,2,11.11,0,0,0,0,0,0,5
,JOSE LUIS SANMARTIN MATO,REAL MADRID,850,18,22.22,4,22.22,8,22.22,4,22.22,0,0,0,5,0,0,4
,JOSEPH AIDOO,RC CELTA,407,6,0.00,4,0.00,4,0.00,0,0.00,0,0,0,0,0,0,6
,JOSE ARNAIZ,CA OSASUNA,375,12,22.22,0,22.22,4,22.22,4,22.22,1,0,0,1,0,0,6
,JOSE CALLEJON,GRANADA CF,521,15,33.33,0,33.33,6,33.33,6,33.33,0,0,0,0,0,0,13
,JOSE GAYA,VALENCIA CF,942,12,27.78,7,27.78,12,27.78,5,27.78,1,0,0,1,0,0,13
,JOSE GIMENEZ,ATLETICO DE MADRID,561,12,11.11,3,11.11,5,11.11,2,11.11,4,0,0,0,0,0,7
,JOSE LUIS MORALES,VILLARREAL CF,655,13,33.33,0,33.33,6,33.33,6,33.33,0,0,0,5,0,0,15
,JOSE MARI MARTIN,CADIZ CF,12,3,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,1
,JOSE POZO,RAYO VALLECANO,8,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JOSE ANGEL CARMONA,GETAFE CF,484,12,27.78,2,27.78,7,27.78,5,27.78,4,0,0,1,0,0,9
,JOAO PEDRO CAVACO CANCELO,FC BARCELONA,1256,15,11.11,12,11.11,14,11.11,2,11.11,4,0,0,2,0,0,17
,JOAO FELIX SEQUEIRA,FC BARCELONA,989,15,55.56,3,55.56,13,55.56,10,55.56,3,0,0,3,0,0,12
,JUAN CRUZ ALVARO ARMADA,CA OSASUNA,997,12,5.56,10,5.56,11,5.56,1,5.56,2,0,0,0,0,0,17
,JUAN CRUZ,REAL BETIS,65,4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,JUAN FOYTH,VILLARREAL CF,1062,12,5.56,11,5.56,12,5.56,1,5.56,1,0,0,1,0,0,20
,JUAN IGLESIAS,GETAFE CF,797,14,27.78,3,27.78,8,27.78,5,27.78,1,0,0,0,0,0,8
,JUAN MIRANDA,REAL BETIS,830,11,22.22,6,22.22,10,22.22,4,22.22,3,0,0,0,0,0,10
,JUANLU SANCHEZ,SEVILLA FC,812,12,16.67,6,16.67,9,16.67,3,16.67,2,0,0,0,0,0,12
,JUANMI LATASA,GETAFE CF,993,18,38.89,3,38.89,10,38.89,7,38.89,3,0,0,2,1,0,14
,JUAN PEDRO RAMIREZ LOPEZ,GIRONA FC,185,7,0.00,0,0.00,0,0.00,0,0.00,2,0,0,0,0,0,3
,JUDE BELLINGHAM,REAL MADRID,1373,16,27.78,11,27.78,16,27.78,5,27.78,4,0,0,13,0,0,10
,JULES KOUNDE,FC BARCELONA,1161,15,11.11,11,11.11,13,11.11,2,11.11,0,0,0,1,0,0,15
,JULIAN ARAUJO,UD LAS PALMAS,995,16,11.11,8,11.11,10,11.11,2,11.11,4,0,0,1,0,0,9
,JORGEN STRAND LARSEN,RC CELTA,1422,18,77.78,4,77.78,18,77.78,14,77.78,2,0,0,7,0,0,18
,KAIKY FERNANDES MELO,UD ALMERIA,424,6,0.00,4,0.00,4,0.00,0,0.00,1,0,0,1,0,0,16
,KEPA ARRIZABALAGA REVUELTA,REAL MADRID,990,11,0.00,11,0.00,11,0.00,0,0.00,1,0,0,0,0,0,7
,KEVIN VAZQUEZ,RC CELTA,626,9,33.33,3,33.33,9,33.33,6,33.33,3,0,0,0,0,0,9
,KIERAN TIERNEY,REAL SOCIEDAD,572,8,33.33,2,33.33,8,33.33,6,33.33,1,0,0,0,0,0,4
,KIKE BARJA,CA OSASUNA,243,11,11.11,0,11.11,2,11.11,2,11.11,2,0,0,0,0,0,7
,KIKE GARCIA,DEPORTIVO ALAVES,737,18,38.89,1,38.89,8,38.89,7,38.89,1,0,0,2,1,0,9
,KIKE PEREZ,RAYO VALLECANO,501,14,27.78,0,27.78,5,27.78,5,27.78,4,0,0,1,0,0,7
,KIKE SALAS,SEVILLA FC,418,8,11.11,3,11.11,5,11.11,2,11.11,3,0,0,2,0,0,8
,KIKO FEMENIA,VILLARREAL CF,197,6,5.56,0,5.56,1,5.56,1,5.56,3,0,0,0,0,0,1
,KIRIAN RODRIGUEZ,UD LAS PALMAS,1420,17,33.33,10,33.33,16,33.33,6,33.33,5,0,0,3,0,0,12
,JORGE RESURRECCION MERODIO,ATLETICO DE MADRID,1088,15,38.89,8,38.89,15,38.89,7,38.89,4,0,0,0,0,0,14
,LAMINE YAMAL,FC BARCELONA,780,18,33.33,1,33.33,7,33.33,6,33.33,1,0,0,1,0,0,11
,LARGIE RAMAZANI,UD ALMERIA,1010,18,44.44,2,44.44,10,44.44,8,44.44,4,0,0,2,1,0,24
,LOIC BADE,SEVILLA FC,887,11,5.56,9,5.56,10,5.56,1,5.56,1,1,0,0,0,0,12
,LUCA DE LA TORRE,RC CELTA,1112,16,33.33,7,33.33,13,33.33,6,33.33,1,1,1,0,0,0,16
,LUCAS BOYE,GRANADA CF,1149,14,44.44,6,44.44,14,44.44,8,44.44,3,1,0,3,0,0,28
,LUCAS OCAMPOS,SEVILLA FC,1373,17,38.89,9,38.89,16,38.89,7,38.89,4,0,0,2,0,0,21
,LUCAS PIRES SILVA,CADIZ CF,667,12,0.00,6,0.00,6,0.00,0,0.00,3,0,0,1,0,0,11
,LUCAS ROBERTONE,UD ALMERIA,967,14,61.11,2,61.11,13,61.11,11,61.11,5,0,0,0,0,0,19
,LUCAS TORRO,CA OSASUNA,1025,14,44.44,5,44.44,13,44.44,8,44.44,3,0,0,0,0,0,17
,LUCAS VAZQUEZ,REAL MADRID,478,14,11.11,2,11.11,4,11.11,2,11.11,0,0,0,1,0,0,6
,LUIS HERNANDEZ,CADIZ CF,542,7,0.00,6,0.00,6,0.00,0,0.00,3,0,0,1,0,0,7
,LUIS MILLA,GETAFE CF,562,8,16.67,3,16.67,6,16.67,3,16.67,4,0,0,0,0,0,7
,LUIS RIOJA,DEPORTIVO ALAVES,1419,18,72.22,4,72.22,17,72.22,13,72.22,3,0,0,1,1,0,20
,LUIS SUAREZ,UD ALMERIA,693,8,27.78,3,27.78,8,27.78,5,27.78,1,0,0,4,0,0,19
,LUIZ FELIPE RAMOS MARCHI,,360,4,0.00,4,0.00,4,0.00,0,0.00,1,0,0,0,0,0,5
,LUIZ HENRIQUE ANDRE ROSA DA SILVA,REAL BETIS,315,10,16.67,0,16.67,3,16.67,3,16.67,1,0,0,0,0,0,5
,LUKA MODRIC,REAL MADRID,718,15,38.89,1,38.89,8,38.89,7,38.89,1,0,0,1,0,0,7
,LUIS MANUEL ARANTES MAXIMIANO,UD ALMERIA,1350,15,0.00,15,0.00,15,0.00,0,0.00,1,0,0,0,0,0,33
,LAZARO VINICIUS MARQUES,UD ALMERIA,227,11,11.11,0,11.11,2,11.11,2,11.11,0,0,0,0,0,0,8
,LEONARDO MICALI CARRILHO BAPTISTAO,UD ALMERIA,850,15,27.78,5,27.78,10,27.78,5,27.78,4,0,0,4,0,0,17
,MALCOM ABDULAI ARES DJALO,ATHLETIC CLUB,24,2,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,1
,MAMADOU SYLLA,REAL VALLADOLID CF,16,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,MANU BUENO,SEVILLA FC,2,1,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,0
,MANU MORLANES,RCD MALLORCA,498,15,27.78,0,27.78,5,27.78,5,27.78,2,0,0,0,0,0,8
,MANU SANCHEZ,RC CELTA,988,14,11.11,8,11.11,10,11.11,2,11.11,2,0,0,0,0,0,17
,MANU TRIGUEROS,VILLARREAL CF,140,6,5.56,0,5.56,1,5.56,1,5.56,0,0,0,0,0,0,2
,MARC BARTRA,REAL BETIS,225,3,5.56,2,5.56,3,5.56,1,5.56,1,0,0,0,0,0,6
,MARC CARDONA,UD LAS PALMAS,381,10,27.78,0,27.78,5,27.78,5,27.78,1,0,0,2,1,0,2
,MARC GUIU,FC BARCELONA,11,1,0.00,0,0.00,0,0.00,0,0.00,1,0,0,1,0,0,0
,MARC PUBILL,UD ALMERIA,271,4,11.11,1,11.11,3,11.11,2,11.11,1,0,0,0,0,0,6
,MARC ROCA,REAL BETIS,1339,17,33.33,10,33.33,16,33.33,6,33.33,4,0,0,2,0,0,15
,MARC-ANDRE TER STEGEN,FC BARCELONA,1170,13,0.00,13,0.00,13,0.00,0,0.00,1,0,0,0,0,0,13
,MARCIANO SANCA TCHAMI,UD ALMERIA,37,6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,3
,MARCOS ACUNA,SEVILLA FC,456,8,27.78,2,27.78,7,27.78,5,27.78,2,0,0,0,0,0,11
,MARCOS ALONSO,FC BARCELONA,160,4,5.56,1,5.56,2,5.56,1,5.56,0,0,0,0,0,0,4
,MARCOS LLORENTE,ATLETICO DE MADRID,1187,18,33.33,7,33.33,13,33.33,6,33.33,3,0,0,3,0,0,14
,MARCOS DO NASCIMENTO TEIXEIRA,SEVILLA FC,3,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MARKO MILOVANOVIC,UD ALMERIA,26,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,MARIANO DIAZ,SEVILLA FC,169,4,11.11,0,11.11,2,11.11,2,11.11,0,0,0,0,0,0,4
,MARIO DOMINGUEZ,VALENCIA CF,23,3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,MARIO HERMOSO,ATLETICO DE MADRID,1402,16,11.11,14,11.11,16,11.11,2,11.11,5,0,0,0,1,0,17
,MARKO DMITROVIC,SEVILLA FC,900,10,0.00,10,0.00,10,0.00,0,0.00,1,0,0,0,0,1,15
,MARTIN VALJENT,RCD MALLORCA,1374,16,11.11,14,11.11,16,11.11,2,11.11,3,0,0,0,0,0,19
,MARTIN ZUBIMENDI,REAL SOCIEDAD,1517,18,0.00,16,0.00,16,0.00,0,0.00,3,0,0,3,0,0,16
,MARVIN OLAWALE AKINLABI PARK,UD LAS PALMAS,652,14,27.78,0,27.78,5,27.78,5,27.78,2,0,0,0,0,0,6
,MASON GREENWOOD,GETAFE CF,1020,14,33.33,5,33.33,11,33.33,6,33.33,2,0,0,3,0,0,13
,MATIJA NASTASIC,RCD MALLORCA,1087,13,0.00,12,0.00,12,0.00,0,0.00,4,0,0,1,0,0,16
,MATTEO GABBIA,VILLARREAL CF,478,7,16.67,3,16.67,6,16.67,3,16.67,2,0,0,0,0,0,10
,MAURO ARAMBARRI,GETAFE CF,337,7,11.11,1,11.11,3,11.11,2,11.11,2,0,0,0,0,0,6
,MAXIMILIANO GOMEZ,CADIZ CF,620,15,33.33,0,33.33,6,33.33,6,33.33,2,0,0,0,0,0,11
,MEMPHIS DEPAY,ATLETICO DE MADRID,272,9,16.67,0,16.67,3,16.67,3,16.67,0,0,0,2,0,0,3
,MIGUEL GUTIERREZ,GIRONA FC,1502,17,5.56,16,5.56,17,5.56,1,5.56,3,0,0,1,0,0,18
,MIGUEL RODRIGUEZ,RC CELTA,69,8,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,2
,MIGUEL RUBIO,GRANADA CF,559,7,5.56,5,5.56,6,5.56,1,5.56,1,0,0,1,0,0,14
,MIGUEL DE LA FUENTE,CD LEGANES,65,3,5.56,0,5.56,1,5.56,1,5.56,0,0,0,0,0,0,2
,MIHAILO RISTIC,RC CELTA,500,7,11.11,4,11.11,6,11.11,2,11.11,1,0,0,0,0,0,9
,MIKA MARMOL,UD LAS PALMAS,1400,16,5.56,15,5.56,16,5.56,1,5.56,2,1,1,0,0,0,12
,MIKEL JAUREGIZAR,ATHLETIC CLUB,9,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MIKEL MERINO,REAL SOCIEDAD,1164,15,33.33,7,33.33,13,33.33,6,33.33,4,0,0,1,0,0,9
,MIKEL OYARZABAL,REAL SOCIEDAD,1060,17,50.00,2,50.00,11,50.00,9,50.00,1,0,0,7,0,0,9
,MIKEL VESGA,ATHLETIC CLUB,888,13,22.22,6,22.22,10,22.22,4,22.22,1,0,0,2,0,0,12
,ADRIA MIQUEL BOSCH,GRANADA CF,25,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,1,2
,MILUTIN OSMAJIC,,4,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,MOHAMED-ALI CHO,REAL SOCIEDAD,241,11,0.00,1,0.00,1,0.00,0,0.00,0,0,0,0,0,0,7
,MOI GOMEZ,CA OSASUNA,989,13,33.33,6,33.33,12,33.33,6,33.33,1,0,0,2,0,0,15
,MOMO MBAYE,CADIZ CF,286,4,0.00,2,0.00,2,0.00,0,0.00,2,0,0,0,0,0,5
,MOUCTAR DIAKHABY,VALENCIA CF,892,12,11.11,8,11.11,10,11.11,2,11.11,5,0,0,1,0,0,13
,MOUSSA DIAKITE,CADIZ CF,1,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MUNIR EL HADDADI,UD LAS PALMAS,1353,18,77.78,3,77.78,17,77.78,14,77.78,2,0,0,1,0,0,7
,MYRTO UZUNI,GRANADA CF,1313,18,33.33,9,33.33,15,33.33,6,33.33,1,0,0,5,0,0,31
,MAXIMO PERRONE,UD LAS PALMAS,656,15,33.33,1,33.33,7,33.33,6,33.33,3,0,0,0,0,0,6
,NABIL FEKIR,REAL BETIS,17,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JOSE IGNACIO FERNANDEZ IGLESIAS,REAL MADRID,584,12,0.00,5,0.00,5,0.00,0,0.00,1,2,0,0,0,0,2
,NACHO VIDAL,CA OSASUNA,82,6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,1,0,0,2
,NAHUEL MOLINA,ATLETICO DE MADRID,872,15,44.44,3,44.44,11,44.44,8,44.44,1,0,0,2,0,0,11
,NAHUEL TENAGLIA,DEPORTIVO ALAVES,202,9,5.56,1,5.56,2,5.56,1,5.56,2,0,0,0,0,0,5
,NEMANJA GUDELJ,SEVILLA FC,1337,15,5.56,14,5.56,15,5.56,1,5.56,6,0,0,1,0,0,21
,NEMANJA MAKSIMOVIC,GETAFE CF,1606,18,11.11,16,11.11,18,11.11,2,11.11,2,0,0,1,0,0,23
,NICO PAZ,REAL MADRID,19,4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,NICHOLAS WILLIAMS ARTHUER,ATHLETIC CLUB,1164,15,61.11,4,61.11,15,61.11,11,61.11,2,0,0,3,3,0,13
,NJEGOS PETROVIC,GRANADA CF,149,10,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,3
,OIHAN SANCET,ATHLETIC CLUB,1198,16,55.56,5,55.56,15,55.56,10,55.56,0,2,1,3,0,0,8
,OMAR ALDERETE,GETAFE CF,618,12,11.11,5,11.11,7,11.11,2,11.11,3,1,0,0,0,0,7
,OMAR MASCARELL,RCD MALLORCA,621,11,27.78,3,27.78,8,27.78,5,27.78,4,0,0,0,0,0,8
,OMENUKE MFULU,UD LAS PALMAS,77,5,5.56,0,5.56,1,5.56,1,5.56,1,0,0,0,0,0,3
,ORIOL ROMEU,FC BARCELONA,658,14,50.00,0,50.00,9,50.00,9,50.00,3,0,0,0,0,0,10
,PABLO BARRIOS,ATLETICO DE MADRID,562,9,11.11,3,11.11,5,11.11,2,11.11,2,0,0,0,0,0,7
,PABLO GOZALBEZ,VALENCIA CF,99,5,5.56,0,5.56,1,5.56,1,5.56,0,0,0,0,0,0,2
,PABLO IBANEZ,CA OSASUNA,389,14,16.67,1,16.67,4,16.67,3,16.67,2,0,0,1,1,0,10
,PABLO MAFFEO,RCD MALLORCA,941,15,16.67,8,16.67,11,16.67,3,16.67,2,1,0,0,0,0,14
,PABLO TORRE,GIRONA FC,292,12,11.11,-1,11.11,1,11.11,2,11.11,0,0,0,0,0,0,3
,PATHE CISS,RAYO VALLECANO,975,17,27.78,5,27.78,10,27.78,5,27.78,4,0,0,1,0,0,17
,PAUL AKOUOKOU,LYON,26,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,PAULO GAZZANIGA,GIRONA FC,1620,18,0.00,18,0.00,18,0.00,0,0.00,2,0,0,0,0,0,21
,PEDRO GONZALEZ LOPEZ,FC BARCELONA,617,8,27.78,2,27.78,7,27.78,5,27.78,2,0,0,1,0,0,5
,FRANCISCO JESUS CRESPO,UD LAS PALMAS,408,9,33.33,0,33.33,6,33.33,6,33.33,1,0,0,1,0,0,2
,PEP CHAVARRIA,RAYO VALLECANO,200,5,0.00,2,0.00,2,0.00,0,0.00,1,0,0,0,0,0,4
,JOSE LUIS GARCIA VAYA,VALENCIA CF,1595,18,16.67,15,16.67,18,16.67,3,16.67,2,0,0,2,0,0,21
,PERU NOLASKOAIN,ATHLETIC CLUB,8,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,CRISTIAN PORTUGUES MANZANERA,GIRONA FC,403,17,5.56,0,5.56,1,5.56,1,5.56,1,0,0,2,0,0,7
,PREDRAG RAJKOVIC,RCD MALLORCA,1620,18,0.00,18,0.00,18,0.00,0,0.00,1,0,0,0,0,0,22
,RACHAD DHIMI,UD ALMERIA,16,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,RADAMEL FALCAO,RAYO VALLECANO,143,10,0.00,0,0.00,0,0.00,0,0.00,2,0,0,1,0,0,1
,RAFA MARIN,DEPORTIVO ALAVES,996,15,0.00,11,0.00,11,0.00,0,0.00,2,0,0,0,0,1,15
,RAFA MIR,SEVILLA FC,238,12,11.11,0,11.11,2,11.11,2,11.11,1,0,0,1,0,0,1
,RAMON TERRATS,VILLARREAL CF,526,13,22.22,0,22.22,4,22.22,4,22.22,2,0,0,0,0,0,14
,RANDY NTEKA,RAYO VALLECANO,356,7,16.67,0,16.67,3,16.67,3,16.67,0,0,0,1,1,0,7
,RAPHAEL DIAS BELLOLI,FC BARCELONA,599,14,22.22,3,22.22,7,22.22,4,22.22,2,1,0,3,0,0,9
,RAUL ALBIOL,VILLARREAL CF,1262,16,22.22,11,22.22,15,22.22,4,22.22,3,0,0,0,0,0,27
,RAUL FERNANDEZ,GRANADA CF,281,4,5.56,3,5.56,4,5.56,1,5.56,0,0,0,0,0,0,11
,RAUL GARCIA,ATHLETIC CLUB,86,7,0.00,0,0.00,0,0.00,0,0.00,2,0,0,0,0,0,1
,RAUL GARCIA,CA OSASUNA,394,16,16.67,0,16.67,3,16.67,3,16.67,2,0,0,2,0,0,7
,RAUL TORRENTE,GRANADA CF,1033,13,5.56,10,5.56,11,5.56,1,5.56,3,0,0,0,0,1,21
,RAUL DE TOMAS,RAYO VALLECANO,805,14,50.00,1,50.00,10,50.00,9,50.00,3,0,0,0,0,0,9
,REINILDO ISNARD MANDAVA,ATLETICO DE MADRID,17,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,RENATO TAPIA,RC CELTA,557,10,0.00,6,0.00,6,0.00,0,0.00,1,1,1,0,0,0,7
,RICARD SANCHEZ,GRANADA CF,1275,17,33.33,8,33.33,14,33.33,6,33.33,4,0,0,2,0,0,30
,RICARDO VISUS,REAL BETIS,30,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ROBERT LEWANDOWSKI,FC BARCELONA,1287,16,11.11,12,11.11,14,11.11,2,11.11,3,0,0,8,1,0,17
,ROBERT NAVARRO,CADIZ CF,341,8,22.22,1,22.22,5,22.22,4,22.22,0,1,0,0,0,0,6
,ROBIN LE NORMAND,REAL SOCIEDAD,1227,15,11.11,12,11.11,14,11.11,2,11.11,6,0,0,1,0,1,15
,RODRIGO SANCHEZ RODRIGUEZ,REAL BETIS,604,13,27.78,1,27.78,6,27.78,5,27.78,0,0,0,0,0,0,7
,RODRIGO DE PAUL,ATLETICO DE MADRID,927,15,50.00,2,50.00,11,50.00,9,50.00,3,0,0,0,0,0,7
,RODRIGO RIQUELME,ATLETICO DE MADRID,669,14,27.78,3,27.78,8,27.78,5,27.78,1,0,0,2,0,0,13
,RODRYGO SILVA DE GOES,REAL MADRID,1322,18,44.44,7,44.44,15,44.44,8,44.44,0,0,0,7,1,0,11
,ROGER MARTI,CADIZ CF,1053,16,66.67,2,66.67,14,66.67,12,66.67,2,0,0,2,0,0,11
,ROMAN YAREMCHUK,VALENCIA CF,250,12,16.67,0,16.67,3,16.67,3,16.67,0,0,0,0,0,0,6
,ROMINIGUE KOUAME,CADIZ CF,417,8,11.11,2,11.11,4,11.11,2,11.11,2,0,0,0,0,0,8
,RONALD ARAUJO,FC BARCELONA,931,12,0.00,9,0.00,9,0.00,0,0.00,3,0,0,1,0,0,13
,RUBEN ALCARAZ,CADIZ CF,1442,17,33.33,11,33.33,17,33.33,6,33.33,8,0,0,1,0,0,17
,RUBEN DUARTE,DEPORTIVO ALAVES,980,15,27.78,7,27.78,12,27.78,5,27.78,5,0,0,1,0,0,16
,RUBEN GARCIA,CA OSASUNA,639,14,38.89,1,38.89,8,38.89,7,38.89,0,0,0,2,0,0,14
,RUBEN PENA,CA OSASUNA,1089,14,50.00,4,50.00,13,50.00,9,50.00,2,0,0,0,0,0,18
,RUBEN SOBRINO,CADIZ CF,589,16,16.67,1,16.67,4,16.67,3,16.67,6,0,0,0,0,0,10
,RUI TIAGO DANTAS DA SILVA,REAL BETIS,765,9,5.56,8,5.56,9,5.56,1,5.56,1,0,0,0,0,0,9
,SALVI SANCHEZ,RCD ESPANYOL DE BARCELONA,27,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,SAMU OMORODION,DEPORTIVO ALAVES,875,16,38.89,2,38.89,9,38.89,7,38.89,2,0,0,5,0,0,16
,SAMUEL DIAS LINO,ATLETICO DE MADRID,854,14,33.33,3,33.33,9,33.33,6,33.33,0,0,0,2,0,0,6
,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,1407,18,16.67,12,16.67,15,16.67,3,16.67,3,0,0,1,0,0,19
,SANDRO RAMIREZ,UD LAS PALMAS,489,7,11.11,3,11.11,5,11.11,2,11.11,0,0,0,0,1,0,4
,SANTI COMESANA,VILLARREAL CF,477,11,22.22,1,22.22,5,22.22,4,22.22,5,0,0,0,0,0,7
,SANTIAGO GARCIA,GETAFE CF,24,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,SAUL COCO,UD LAS PALMAS,1116,15,5.56,11,5.56,12,5.56,1,5.56,2,0,0,1,0,0,11
,SAUL NIGUEZ,ATLETICO DE MADRID,806,18,22.22,4,22.22,8,22.22,4,22.22,2,0,0,0,0,0,10
,SELIM AMALLAH,VALENCIA CF,487,12,22.22,2,22.22,6,22.22,4,22.22,3,1,1,0,0,0,5
,SERGI ALTIMIRA,REAL BETIS,260,6,11.11,1,11.11,3,11.11,2,11.11,0,0,0,0,0,0,6
,SERGI CANOS,VALENCIA CF,428,11,27.78,-1,27.78,4,27.78,5,27.78,0,0,0,1,0,0,7
,SERGI CARDONA,UD LAS PALMAS,1374,17,5.56,13,5.56,14,5.56,1,5.56,6,0,0,0,0,0,13
,SERGI DARDER,RCD MALLORCA,1122,16,27.78,6,27.78,11,27.78,5,27.78,1,0,0,0,0,0,16
,SERGI GUARDIOLA,CADIZ CF,120,8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,SERGI ROBERTO,FC BARCELONA,279,5,5.56,2,5.56,3,5.56,1,5.56,0,0,0,3,0,0,5
,SERGIO AKIEME,UD ALMERIA,1350,15,0.00,15,0.00,15,0.00,0,0.00,1,0,0,2,0,0,30
,SERGIO ARRIBAS,UD ALMERIA,1206,18,44.44,4,44.44,12,44.44,8,44.44,0,0,0,5,0,0,28
,SERGIO CAMELLO,RAYO VALLECANO,644,14,38.89,0,38.89,7,38.89,7,38.89,2,0,0,0,0,0,15
,SERGIO HERRERA,CA OSASUNA,1340,15,5.56,14,5.56,15,5.56,1,5.56,2,0,0,0,0,0,23
,SERGIO RAMOS,SEVILLA FC,808,9,0.00,9,0.00,9,0.00,0,0.00,4,1,0,1,0,1,11
,SERGIO RUIZ,GRANADA CF,962,16,44.44,3,44.44,11,44.44,8,44.44,3,0,0,0,0,0,23
,SHON WEISSMAN,GRANADA CF,78,5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,SIEBE VAN DER HEYDEN,RCD MALLORCA,229,4,11.11,1,11.11,3,11.11,2,11.11,1,0,0,0,0,0,4
,SILVI CLUA,GIRONA FC,1,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,SOKRATIS PAPASTATHOPOULOS,REAL BETIS,7,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,SORY KABA,UD LAS PALMAS,584,12,27.78,2,27.78,7,27.78,5,27.78,2,0,0,1,0,0,7
,SRDJAN BABIC,,90,1,0.00,1,0.00,1,0.00,0,0.00,0,0,0,0,0,0,2
,STEFAN MITROVIC,GETAFE CF,687,10,22.22,5,22.22,9,22.22,4,22.22,3,0,0,1,0,0,11
,STEFAN SAVIC,ATLETICO DE MADRID,724,10,5.56,8,5.56,9,5.56,1,5.56,2,1,1,0,0,0,8
