Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Nacho Vidal,C.A. Osasuna,496.726€,13,14,60,1,0,0,0,2,1,1,2,8,0,2,0,0,0,0,0,0,0,0
Yeray,Athletic Club,1.105.734€,12,5,184,0,0,0,0,11,0,1,14,20,0,5,0,0,0,1,0,0,0,0
Kevin Vázquez,RC Celta,487.846€,12,14,334,0,0,0,2,14,1,0,19,38,0,5,0,0,0,1,0,0,0,0
Petrovic,Granada CF,495.008€,12,14,85,0,0,0,0,3,2,1,9,18,0,3,0,0,0,0,0,0,0,0
Sobrino,Cádiz CF,519.597€,12,12,366,0,0,0,3,5,3,0,43,59,0,7,0,0,0,5,0,0,0,0
Mendes,UD Almería,476.915€,11,9,370,0,0,0,1,14,2,0,25,63,0,10,0,0,0,0,0,0,0,0
Copete,RCD Mallorca,585.987€,11,13,467,0,0,0,1,17,0,0,36,39,0,9,0,0,1,3,0,0,0,0
Jordán,Sevilla FC,542.878€,11,13,255,0,0,0,2,2,1,1,18,27,0,5,0,0,0,1,0,0,0,0
Carles Pérez,RC Celta,663.924€,11,9,237,0,0,1,2,0,4,0,18,37,0,5,0,0,0,1,0,0,0,0
Prados,Athletic Club,475.469€,11,9,89,0,0,0,0,1,1,2,10,16,0,3,0,0,0,0,0,0,0,0
Ristic,RC Celta,504.215€,11,6,356,0,0,0,2,8,2,0,31,67,0,7,0,0,0,0,0,0,0,0
Pacheta,Villarreal CF,749.586€,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiko Femenía,Villarreal CF,475.855€,10,14,197,0,0,1,2,2,0,0,14,24,0,1,0,0,0,3,0,0,0,0
Miguel Rodríguez,RC Celta,549.462€,10,14,64,0,0,0,0,0,1,0,5,20,0,2,0,0,0,1,0,0,0,0
Benito J,UD Las Palmas,484.420€,10,5,37,1,0,0,1,0,0,1,3,9,0,1,0,0,0,0,0,0,0,0
Juanpe,Girona FC,508.013€,9,13,118,0,0,0,0,16,0,0,3,11,0,2,0,0,0,2,0,0,0,0
Angileri,Getafe CF,476.980€,9,13,75,0,0,1,2,4,0,0,10,14,0,2,0,0,0,1,0,0,0,0
Ceballos,Real Madrid,672.350€,9,6,87,0,0,0,0,0,2,0,7,9,0,0,0,0,0,0,0,0,0,0
Arnau Puigmal,UD Almería,476.930€,9,14,231,0,0,0,2,1,2,0,17,36,0,4,0,0,1,3,0,0,0,0
Juan Cruz,Real Betis,484.672€,9,11,65,0,0,0,0,0,5,0,4,8,0,1,0,0,0,0,0,0,0,0
Kone,UD Almería,640.901€,9,7,163,0,0,0,0,4,1,1,5,25,0,10,0,0,0,0,0,0,0,0
Ibañez,C.A. Osasuna,799.645€,9,11,187,0,0,0,1,1,0,0,9,24,0,6,0,0,0,2,0,0,0,0
Aitor Fdez,C.A. Osasuna,643.084€,8,14,280,0,0,0,0,2,0,0,21,33,0,6,0,3,0,1,0,0,0,0
Raúl F,Granada CF,620.464€,8,8,270,0,0,0,0,1,0,0,26,36,0,11,0,8,0,0,0,0,0,0
Javi Galán,Atlético de Madrid,915.057€,8,13,83,0,0,0,1,3,2,0,8,22,0,1,0,0,0,1,0,0,0,0
Lemar,Atlético de Madrid,732.904€,8,3,167,0,0,0,1,0,1,0,5,19,0,2,0,0,0,0,0,0,0,0
Mfulu,UD Las Palmas,495.656€,8,11,66,0,0,0,0,5,0,0,8,7,0,2,0,0,0,1,0,0,0,0
Negredo,Cádiz CF,545.791€,8,13,35,0,0,0,1,0,1,1,3,10,0,2,0,0,0,0,0,0,0,0
Unai G,Athletic Club,485.923€,8,14,268,0,0,0,0,13,1,0,12,30,0,6,0,0,0,0,0,0,0,0
Carlos Domínguez,RC Celta,508.891€,8,11,249,0,0,0,5,1,3,2,13,43,0,6,1,0,0,0,0,0,0,0
Robert Navarro,Cádiz CF,493.843€,8,5,216,0,0,1,2,1,3,1,15,35,0,8,0,0,0,0,0,0,0,0
Carreras,Granada CF,558.160€,7,14,180,0,0,0,0,1,0,0,25,29,0,7,0,4,0,0,0,0,0,0
Fernando,UD Almería,561.469€,7,12,177,0,0,0,1,2,5,0,18,36,0,4,0,0,0,1,0,0,0,0
Manafá,Granada CF,521.332€,7,14,122,0,0,0,0,3,0,1,5,10,0,2,0,0,0,0,0,0,0,0
Trigueros,Villarreal CF,525.546€,7,12,93,0,0,0,0,3,2,0,13,11,0,5,0,0,0,0,0,0,0,0
Altimira,Real Betis,491.462€,7,10,48,0,0,0,0,1,1,1,1,8,0,3,0,0,0,0,0,0,0,0
Bartra,Real Betis,1.267.733€,7,5,225,0,0,0,0,10,2,0,17,19,0,6,0,0,0,1,0,0,0,0
Sergi Guardiola,Cádiz CF,766.210€,7,8,73,0,0,0,0,1,0,1,4,12,0,1,0,0,0,0,0,0,0,0
Söyüncü,Atlético de Madrid,903.694€,6,7,30,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Raúl García,Athletic Club,500.157€,6,14,77,0,0,0,0,1,0,0,2,17,0,3,0,0,0,1,0,0,0,0
Lozano,Getafe CF,531.439€,6,11,180,0,0,0,0,2,1,1,14,29,0,3,0,0,0,1,0,0,0,0
Andrei,Rayo Vallecano,475.469€,6,6,169,0,0,0,1,2,0,1,5,19,0,4,0,0,0,0,0,0,0,0
Mariano,Sevilla FC,838.242€,6,11,90,0,0,0,0,0,0,0,12,4,0,1,0,3,0,0,0,0,0,0
Iñaki Peña,FC Barcelona,641.038€,5,11,90,0,0,0,0,5,0,0,12,3,0,2,0,0,0,0,0,0,0,0
Curbelo,UD Las Palmas,490.414€,5,13,66,0,0,0,0,1,0,0,4,15,0,1,0,0,0,2,0,0,0,0
Olasagasti,Real Sociedad,479.114€,5,12,19,0,0,0,0,1,1,0,7,5,0,1,0,0,0,0,0,0,0,0
Herrera,UD Las Palmas,495.229€,5,14,93,0,0,0,0,2,1,0,6,11,0,3,0,0,0,0,0,0,0,0
Weissman,Granada CF,754.235€,5,7,51,0,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0
Miguel Ángel Tena,Villarreal CF,857.594€,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mariño,UD Almería,471.433€,4,14,90,0,0,0,0,1,0,0,8,4,0,2,0,2,0,0,0,0,0,0
Chust,Cádiz CF,524.739€,4,5,156,0,0,0,0,5,0,0,8,18,0,3,0,0,0,0,0,0,0,0
Bernardo,Girona FC,521.822€,4,8,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Perea,Granada CF,491.782€,4,13,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Jose Mari,Cádiz CF,473.235€,4,12,12,0,0,0,0,0,0,0,3,5,0,1,0,0,0,1,0,0,0,0
André Silva,Real Sociedad,905.538€,4,4,30,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0
Vicente Moreno Peris,UD Almería,501.106€,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Januzaj,Sevilla FC,1.177.794€,4,7,42,0,0,0,0,0,1,0,3,5,0,1,0,0,0,0,0,0,0,0
Gozálbez,Valencia CF,474.209€,4,10,54,0,0,0,0,1,0,0,4,9,0,1,0,0,0,0,0,0,0,0
Mario,Valencia CF,468.617€,4,5,14,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0
Javi Llabrés,RCD Mallorca,510.066€,4,6,12,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0
Jesús Vázquez,Valencia CF,485.059€,3,7,23,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
Lemos S,UD Las Palmas,485.080€,3,10,193,0,0,0,0,3,0,0,11,33,0,2,0,0,0,1,0,0,0,0
Sinkgraven,UD Las Palmas,530.802€,3,10,68,0,0,0,0,1,0,0,6,8,0,1,0,0,0,0,0,0,0,0
Marc Pubill,UD Almería,542.209€,3,3,247,0,0,0,0,6,2,0,19,44,0,6,0,0,0,1,0,0,0,0
Fekir,Real Betis,8.763.929€,3,3,17,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
Nico Paz,Real Madrid,479.274€,3,6,10,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0
Jhon Solis,Girona FC,524.262€,3,8,5,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
David Gil,Cádiz CF,475.541€,2,13,11,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Militão,Real Madrid,2.140.800€,2,1,50,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
Odriozola,Real Sociedad,500.278€,2,9,45,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
Raúl,Granada CF,547.851€,2,2,96,0,0,0,0,0,1,0,7,8,0,4,0,0,0,1,0,0,0,0
Pozo,Sevilla FC,506.386€,2,5,17,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0
Milla,Cádiz CF,479.841€,2,10,55,0,0,0,0,6,0,0,3,7,0,2,0,0,0,0,0,0,0,0
Tapia,Rayo Vallecano,472.456€,2,14,19,0,0,0,0,0,0,0,1,5,0,3,0,0,0,1,0,0,0,0
Cervi,Sevilla FC,593.804€,2,9,9,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0
Paco Lopez,Girona FC,477.387€,2,1,11,0,0,0,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0
Marcos Alonso,Cádiz CF,480.880€,2,6,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Benitez Maudes,Valencia CF,468.587€,2,10,103,0,0,0,0,3,0,0,7,14,0,2,0,0,0,1,0,0,0,0
Tenaglia,Real Sociedad,479.003€,2,10,14,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0
Nacho Vidal,Deportivo Alavés,524.436€,1,12,141,0,0,0,1,3,0,0,6,16,0,5,0,0,0,0,0,0,0,0
Yeray,Cádiz CF,507.072€,1,13,162,0,0,0,0,7,1,0,8,30,0,8,0,0,0,1,0,0,0,0
Kevin Vázquez,Granada CF,505.539€,1,7,19,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Petrovic,Athletic Club,485.786€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sobrino,UD Almería,467.985€,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mendes,Real Madrid,1.877.671€,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copete,UD Las Palmas,474.069€,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordán,Valencia CF,466.915€,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carles Pérez,Valencia CF,491.089€,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prados,Atlético de Madrid,480.076€,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ristic,Athletic Club,489.768€,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacheta,RCD Mallorca,476.663€,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiko Femenía,Villarreal CF,640.448€,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Rodríguez,Girona FC,496.189€,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benito J,RC Celta,517.029€,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juanpe,Getafe CF,482.832€,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angileri,C.A. Osasuna,496.822€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceballos,Deportivo Alavés,511.778€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnau Puigmal,Atlético de Madrid,829.099€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Cruz,Sevilla FC,508.875€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kone,Villarreal CF,509.338€,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibañez,Real Sociedad,479.649€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aitor Fdez,Rayo Vallecano,470.394€,0,10,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0
Raúl F,Girona FC,495.549€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javi Galán,Real Madrid,1.540.916€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemar,Getafe CF,666.807€,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mfulu,Granada CF,471.498€,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negredo,Rayo Vallecano,478.447€,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unai G,Deportivo Alavés,480.386€,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Domínguez,Rayo Vallecano,468.492€,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Navarro,Real Sociedad,23.300.238€,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carreras,Deportivo Alavés,59.534.227€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernando,Girona FC,22.317.581€,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manafá,Girona FC,26.829.882€,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigueros,Athletic Club,22.390.408€,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altimira,Deportivo Alavés,47.421.229€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartra,Sevilla FC,67.608.305€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergi Guardiola,RC Celta,21.845.398€,0,10,90,0,0,0,0,5,0,0,4,17,0,3,0,0,0,0,0,0,0,0
Söyüncü,C.A. Osasuna,49.469.101€,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raúl García,C.A. Osasuna,16.927.665€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lozano,Real Madrid,24.693.328€,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrei,Deportivo Alavés,18.451.626€,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mariano,FC Barcelona,28.301.245€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iñaki Peña,UD Almería,44.290.879€,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curbelo,Atlético de Madrid,35.512.140€,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olasagasti,Rayo Vallecano,47.952.703€,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herrera,Real Sociedad,39.721.690€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weissman,Athletic Club,22.918.949€,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Ángel Tena,UD Las Palmas,49.090.201€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mariño,Getafe CF,71.119.326€,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chust,FC Barcelona,39.670.275€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernardo,Girona FC,13.248.664€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perea,Sevilla FC,30.792.712€,0,9,23,0,0,0,0,0,1,0,1,3,0,1,0,0,0,1,0,0,0,0
Jose Mari,Deportivo Alavés,34.015.356€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
André Silva,Girona FC,50.943.080€,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicente Moreno Peris,Getafe CF,23.278.289€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Januzaj,Cádiz CF,13.359.455€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gozálbez,UD Las Palmas,29.628.561€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario,FC Barcelona,33.474.798€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javi Llabrés,Real Sociedad,23.703.098€,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesús Vázquez,Atlético de Madrid,26.824.398€,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemos S,Valencia CF,50.006.363€,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinkgraven,Deportivo Alavés,29.320.763€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Pubill,RCD Mallorca,24.229.082€,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fekir,Valencia CF,18.214.246€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nico Paz,Real Betis,17.047.578€,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhon Solis,Real Madrid,15.133.163€,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Gil,RC Celta,38.141.880€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Militão,RCD Mallorca,33.796.732€,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odriozola,C.A. Osasuna,24.249.630€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaizka,Deportivo Alavés,22.396.041€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pau Cubarsi,FC Barcelona,6.772.401€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario,Granada CF,25.151.105€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luna,RCD Mallorca,40.089.464€,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
César Montes,UD Almería,30.694.041€,0,9,424,0,0,0,1,19,0,0,21,65,0,15,0,0,0,2,0,0,0,0
Marí,Valencia CF,7.216.397€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasanac,C.A. Osasuna,39.765.962€,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kike Salas,Sevilla FC,8.863.096€,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Guiu,FC Barcelona,29.816.876€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Alonso,Sevilla FC,17.969.498€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
