Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Rubén Baraja,Valencia CF,483.667€,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alderete,Getafe CF,1.059.029€,33,13,568,0,1,0,0,40,3,0,35,80,0,6,0,0,0,3,0,0,0,0
Fermin,FC Barcelona,5.126.213€,33,11,430,1,0,1,1,2,10,9,26,60,0,4,0,0,0,1,0,0,0,0
Manu Sánchez,RC Celta,939.845€,32,14,772,0,1,2,5,19,4,0,59,118,0,15,0,0,0,1,0,0,0,0
Álex Sola,Deportivo Alavés,579.724€,32,14,565,0,0,1,7,5,18,3,41,106,0,11,0,0,1,1,0,0,0,0
Almeida,Valencia CF,2.707.936€,32,8,484,0,1,1,3,1,7,2,19,66,0,6,0,0,0,0,0,0,0,0
Brahim,Real Madrid,3.335.477€,32,14,181,1,0,1,7,0,6,3,12,51,0,0,0,0,0,0,0,0,0,0
Callejon,Granada CF,1.026.876€,32,14,489,0,1,1,3,6,1,2,30,62,0,13,0,0,0,0,0,0,0,0
Jose Bordalas,Getafe CF,472.022€,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ianis Hagi,Deportivo Alavés,744.802€,32,10,412,0,1,1,10,3,4,5,16,68,1,6,0,0,0,2,0,0,0,0
Juan Iglesias,Getafe CF,637.049€,31,14,561,0,0,1,6,17,2,4,41,119,0,6,0,0,0,1,0,0,0,0
Óliver Torres,Sevilla FC,654.008€,31,11,559,0,0,1,5,0,3,2,45,85,0,7,0,0,0,3,0,0,0,0
Aleñá,Getafe CF,931.034€,31,14,563,1,1,1,6,5,2,4,37,77,0,12,0,0,0,4,0,0,0,0
